Male,United States,53,Employed full-time,,,Yes,,Other,Fine,Employed by a company that doesn't perform advanced analytics,Google Cloud Compute,Text Mining,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Government website,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","Arxiv,Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",Somewhat useful,Very useful,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Somewhat useful,,,,,"Data Elixir Newsletter,KDnuggets Blog",,,,,,,,,,,,,,,,,,,No,Master's degree,,3 to 5 years,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",65,20,10,0,5,0,Natural Language Processing,Other (please specify; separate by semi-colon),A master's degree,Manufacturing,"10,000 or more employees",Stayed the same,6-10 years,"A friend, family member, or former colleague told me",Very important,Other,Laptop or Workstation and local IT supported servers,Text data,Sometimes,10MB,,"Microsoft Excel Data Mining,Minitab,Python,SAP BusinessObjects Predictive Analytics,Tableau",,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,Sometimes,,,,,Rarely,,,,,,Often,,,,,,,,Sometimes,,,,,,,Text Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sometimes,,,,,30,20,10,10,30,0,Enough to run the code / standard library,The lack of a clear question to be answering or a clear direction to go in with the available data,,,,,,,,,,,,,,,,,,,,Often,,,10-25% of projects,More internal than external,Business Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Commercial Data Platform,Email,Share Drive/SharePoint",,"Generic non-cloud file sharing software (Email/Shared Server/etc.),Other",Rarely,,,,9,,,,,,,,,,,,,,,,,,
Male,South Africa,30,"Not employed, but looking for work",,,,,,,,DataRobot,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,Government website,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","Blogs,Conferences,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,Somewhat useful,Very useful,Very useful,Very useful,,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,,,Very useful,"Data Machina Newsletter,KDnuggets Blog,O'Reilly Data Newsletter",1-2 years,Nice to have,Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,,,,"Coursera,edX",Basic laptop (Macbook),11 - 39 hours,Experience from work in a company related to ML,Yes,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,I haven't started working yet,"Online courses (coursera, udemy, edx, etc.)",60,40,0,0,0,0,"Machine Translation,Natural Language Processing,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,3-5,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Not important,Not important,Not important,Somewhat important,Not important
Male,Poland,31,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Proprietary Algorithms,Python,Other,"Personal Projects,Tutoring/mentoring",,,,,,,,,,,,Very useful,,,,,Very useful,,Other (Separate different answers with semicolon),,,,,,,,,,,,,,,,,,,,Master's degree,Psychology,6 to 10 years,"Business Analyst,Data Analyst,Data Scientist,Researcher,Software Developer/Software Engineer,Statistician",Self-taught,70,10,10,5,5,0,"Computer Vision,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Ensemble Methods,A professional degree,Mix of fields,,,,,Not at all important,Build and/or run a machine learning service that operationally improves your product or workflows,Gaming Laptop (Laptop + CUDA capable GPU),Relational data,Sometimes,10GB,Ensemble Methods,"C/C++,MATLAB/Octave",,,,Sometimes,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Visualization,Ensemble Methods,kNN and Other Clustering,PCA and Dimensionality Reduction,Segmentation,Time Series Analysis",,,,,,,Most of the time,,Often,,,,,Sometimes,,,,,,,Sometimes,,,,,Sometimes,,,,Most of the time,,,,35,15,20,15,15,0,"Enough to code it again from scratch, albeit it may run slowly","Company politics / Lack of management/financial support for a data science team,Lack of significant domain expert input,Need to coordinate with IT,Unavailability of/difficult access to data",Often,,,,,,,,,,Often,,,,Sometimes,,,,,,Sometimes,,76-99% of projects,Entirely internal,Other,,time,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Commercial Data Platform,Email",,Generic non-cloud file sharing software (Email/Shared Server/etc.),Sometimes,120000,PLN,Has increased 20% or more,3,,,,,,,,,,,,,,,,,,
Male,,NA,Employed full-time,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Spain,46,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,I don't plan on learning a new tool/technology,I don't plan on learning a new ML/DS method,Java,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,College/University,Conferences,Kaggle,Official documentation,Textbook",,Somewhat useful,Very useful,,Somewhat useful,,Very useful,,,Somewhat useful,,,,,Somewhat useful,,,,,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Master's degree,"Information technology, networking, or system administration",3 to 5 years,"DBA/Database Engineer,Programmer",University courses,25,0,40,20,15,0,Supervised Machine Learning (Tabular Data),Decision Trees - Gradient Boosted Machines,"Some college/university study, no bachelor's degree",Academic,"1,000 to 4,999 employees",Increased slightly,Don't know,"A friend, family member, or former colleague told me",Important,Research that advances the state of the art of machine learning,Laptop or Workstation and local IT supported servers,Relational data,Rarely,<1MB,"Decision Trees,Neural Networks,Regression/Logistic Regression","C/C++,Java,Microsoft Excel Data Mining,RapidMiner (free version),SQL",,,,Most of the time,,,,,,,,,,,Most of the time,,,,,,,,Most of the time,,,,,,,,,,,,Sometimes,,,,,,,Sometimes,,,,,,,,,,"Association Rules,Bayesian Techniques,Cross-Validation,Decision Trees,Evolutionary Approaches,Neural Networks,Random Forests",,Often,Often,,,Most of the time,,Often,,Sometimes,,,,,,,,,,Sometimes,,,Sometimes,,,,,,,,,,,30,50,5,5,10,0,Enough to tune the parameters properly,"Explaining data science to others,Lack of data science talent in the organization",,,,,,Sometimes,,,Often,,,,,,,,,,,,,,Less than 10% of projects,Entirely internal,IT Department,UCI,Dimensionality,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",Email,,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.)",Sometimes,31000,EUR,Has stayed about the same (has not increased or decreased more than 5%),7,,,,,,,,,,,,,,,,,,
Male,United Kingdom,40,Employed full-time,,,Yes,,Programmer,Poorly,Employed by a company that performs advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,Computer Science,Less than a year,"Engineer,Programmer,Software Developer/Software Engineer,Other","Online courses (coursera, udemy, edx, etc.)",40,55,5,0,0,0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),Primary/elementary school,Financial,20 to 99 employees,Increased significantly,1-2 years,An external recruiter or headhunter,Important,Other,Laptop or Workstation and local IT supported servers,Relational data,Rarely,100GB,,"Amazon Web services,Java,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,SQL,Tableau",,Often,,,,,,,,,,,,,Rarely,,,,,,,,Sometimes,,Sometimes,,,,,,,,,,,,,,,,,Most of the time,,,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,India,24,"Not employed, but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),Less than a year,Other,"Online courses (coursera, udemy, edx, etc.)",30,60,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,India,24,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Germany,35,Employed full-time,,,Yes,,Computer Scientist,Perfectly,Employed by professional services/consulting firm,R,Deep learning,,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites",Textbook,,,,,,,,,,,,,,,Very useful,,,,,,,,,,,,,,,,,,,,,,,No,Master's degree,Computer Science,Less than a year,"Computer Scientist,Programmer,Researcher,Software Developer/Software Engineer",University courses,35,0,0,65,0,0,,,A bachelor's degree,Mix of fields,100 to 499 employees,,Don't know,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Build prototypes to explore applying machine learning to new areas,"Basic laptop (Macbook),Traditional Workstation",Relational data,,,Neural Networks,Java,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neural Networks,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,0,100,0,0,0,0,Enough to tune the parameters properly,Unavailability of/difficult access to data,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,IT Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",I don't typically share data,,Subversion,Sometimes,,,,I prefer not to share,,,,,,,,,,,,,,,,,,
Female,Germany,22,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree,,Less than a year,Data Analyst,Self-taught,70,30,0,0,0,0,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Support Vector Machines (SVMs)",A doctoral degree,Retail,500 to 999 employees,Increased slightly,1-2 years,Some other way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
