Female,United States,32,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by government,Python,Anomaly Detection,Python,"GitHub,Google Search,University/Non-profit research group websites","Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,Somewhat useful,"KDnuggets Blog,O'Reilly Data Newsletter",,,,,,,,,,,,,,,,,,,No,Master's degree,A social science,3 to 5 years,"Data Analyst,Researcher",Other,25,25,0,0,0,50,Other (please specify; separate by semi-colon),Logistic Regression,High school,Government,I don't know,,Don't know,Some other way,Somewhat important,Analyze and understand data to influence product or business decisions,Traditional Workstation,Other,,,Regression/Logistic Regression,"Python,SAS Base,SAS Enterprise Miner,SQL,Tableau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,,,,,,,Most of the time,Rarely,,,Often,,,Rarely,,,,,,,Logistic Regression,,,,,,,,,,,,,,,,Sometimes,,,,,,,,,,,,,,,,,,50,0,0,25,25,0,Enough to run the code / standard library,"Company politics / Lack of management/financial support for a data science team,Lack of data science talent in the organization,The lack of a clear question to be answering or a clear direction to go in with the available data",Often,,,,,,,,Most of the time,,,,,,,,,,,Often,,,26-50% of projects,Entirely internal,Other,None,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),I don't typically share data,,Other,Sometimes,62000,USD,Has increased between 6% and 19%,4,,,,,,,,,,,,,,,,,,
Male,United States,39,Employed full-time,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Canada,22,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Spark / MLlib,Deep learning,Python,Google Search,"Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Textbook",,Very useful,,,,,Very useful,,Very useful,Very useful,Very useful,Very useful,,,Very useful,,,,,1-2 years,Necessary,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,"Coursera,Udacity","Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Kaggle Competitions,No,Bachelor's degree,Computer Science,Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",30,65,0,0,5,0,Speech Recognition,"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Career fair or on-campus recruiting event,1-2,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Not important,Somewhat important,Somewhat important
Male,United States,23,Employed part-time,,,Yes,,Data Analyst,Perfectly,Employed by a company that doesn't perform advanced analytics,Hadoop/Hive/Pig,,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Conferences,Kaggle,Online courses,Stack Overflow Q&A",,,,,Somewhat useful,,Somewhat useful,,,,Very useful,,,Very useful,,,,,KDnuggets Blog,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Business Analyst,Data Analyst",Work,10,50,25,15,0,0,Survival Analysis,"Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression",High school,Technology,100 to 499 employees,Stayed the same,3-5 years,A tech-specific job board,Important,Analyze and understand data to influence product or business decisions,Basic laptop (Macbook),Relational data,Sometimes,10MB,"Bayesian Techniques,Decision Trees,Random Forests","MATLAB/Octave,Python,R,SQL,Tableau",,,,,,,,,,,,,,,,,,,,,Rarely,,,,,,,,,,Sometimes,,Often,,,,,,,,,Most of the time,,,Sometimes,,,,,,,"Bayesian Techniques,Decision Trees,Naive Bayes",,,Often,,,,,Sometimes,,,,,,,,,,Often,,,,,,,,,,,,,,,,20,10,0,20,50,0,Enough to explain the algorithm to someone non-technical,Explaining data science to others,,,,,,Often,,,,,,,,,,,,,,,,,51-75% of projects,More internal than external,Central Insights Team,Country's GDP; Board of Ed; Collegeboard,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",Company Developed Platform,,"Generic cloud file sharing software (Dropbox/Box/etc.),Mercurial",Rarely,,USD,Has increased between 6% and 19%,8,,,,,,,,,,,,,,,,,,
Female,Switzerland,28,Employed full-time,,,Yes,,Engineer,Fine,Employed by company that makes advanced analytic software,C/C++,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring",,,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,Very useful,Very useful,,Somewhat useful,,"Becoming a Data Scientist Podcast,Data Machina Newsletter,FlowingData Blog",,,,,,,,,,,,,,,,,,,Yes,Master's degree,Electrical Engineering,3 to 5 years,"Engineer,Researcher",University courses,20,10,20,40,10,0,"Computer Vision,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A doctoral degree,Technology,10 to 19 employees,Increased slightly,6-10 years,I visited the company's Web site and found a job listing there,Very important,Research that advances the state of the art of machine learning,GPU accelerated Workstation,"Image data,Video data",Most of the time,100MB,"Bayesian Techniques,CNNs,Decision Trees,Neural Networks","C/C++,Python,TensorFlow",,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,Often,,,,,,"Bayesian Techniques,CNNs,Data Visualization,Decision Trees,Ensemble Methods,Logistic Regression,PCA and Dimensionality Reduction,Random Forests",,,Sometimes,Often,,,Most of the time,Sometimes,Sometimes,,,,,,,Sometimes,,,,,Often,,Often,,,,,,,,,,,10,20,40,10,20,0,"Enough to code it again from scratch, albeit it may run slowly",Company politics / Lack of management/financial support for a data science team,Often,,,,,,,,,,,,,,,,,,,,,,100% of projects,More internal than external,IT Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",Company Developed Platform,,Git,Rarely,"80,000",CHF,Has increased 20% or more,3,,,,,,,,,,,,,,,,,,
Female,United States,32,"Not employed, but looking for work",,,,,,,,Mathematica,Neural Nets,Java,"GitHub,Google Search","College/University,Friends network,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,Very useful,,,,,,,,Very useful,,,,Very useful,,1-2 years,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,,Basic laptop (Macbook),11 - 39 hours,Master's degree,Yes,Master's degree,Biology,3 to 5 years,I haven't started working yet,University courses,0,0,0,100,0,0,Reinforcement learning,"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Support Vector Machines (SVMs)",I don't know/not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Career fair or on-campus recruiting event,0,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Male,Italy,40,Employed full-time,,,No,Yes,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Google Cloud Compute,Regression,R,Google Search,Kaggle,,,,,,,Very useful,,,,,,,,,,,,"Becoming a Data Scientist Podcast,Data Machina Newsletter,R Bloggers Blog Aggregator",1-2 years,Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,,,,,Basic laptop (Macbook),2 - 10 hours,Experience from work in a company related to ML,No,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),1 to 2 years,Engineer,Kaggle competitions,90,10,0,0,0,0,Supervised Machine Learning (Tabular Data),Logistic Regression,,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meeting with recruiters who've contacted you directly,0,Very Important,Somewhat important,Very Important,Somewhat important,Not important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Male,United States,29,Employed full-time,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,People 's Republic of China,29,"Not employed, but looking for work",,,,,,,,Python,Deep learning,Python,Google Search,"Arxiv,Blogs,Kaggle,Stack Overflow Q&A",Very useful,Very useful,,,,,Very useful,,,,,,,Very useful,,,,,"No Free Hunch Blog,O'Reilly Data Newsletter,The Data Skeptic Podcast",< 1 year,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,,GPU accelerated Workstation,11 - 39 hours,Online Courses and Certifications,Sort of (Explain more),Master's degree,Engineering (non-computer focused),3 to 5 years,"Engineer,Researcher","Online courses (coursera, udemy, edx, etc.)",30,70,0,0,0,0,"Computer Vision,Recommendation Engines,Supervised Machine Learning (Tabular Data)","Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",Primary/elementary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,3-5,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not important,Somewhat important
Male,United States,29,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,Amazon Web services,Neural Nets,Python,Google Search,"Official documentation,Online courses,Stack Overflow Q&A,Textbook",,,,,,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,,,,,,,,,,,,,,,,,,,,,,,Doctoral degree,Mathematics or statistics,1 to 2 years,,"Online courses (coursera, udemy, edx, etc.)",80,20,0,0,0,0,"Outlier detection (e.g. Fraud detection),Reinforcement learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A master's degree,Other,100 to 499 employees,Increased significantly,Less than one year,A general-purpose job board,Important,Build and/or run a machine learning service that operationally improves your product or workflows,Traditional Workstation,Relational data,Most of the time,100MB,"Gradient Boosted Machines,Neural Networks,Regression/Logistic Regression","C/C++,Python,SQL,TensorFlow",,,,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,Most of the time,,,,Sometimes,,,,,,"Data Visualization,Gradient Boosted Machines,kNN and Other Clustering,Neural Networks,PCA and Dimensionality Reduction,Random Forests",,,,,,,Most of the time,,,,,Sometimes,,Sometimes,,,,,,Sometimes,Sometimes,,Sometimes,,,,,,,,,,,15,20,15,50,0,0,"Enough to code it again from scratch, albeit it may run slowly","Difficulties in deployment/scoring,Lack of data science talent in the organization,Organization is small and cannot afford a data science team,The lack of a clear question to be answering or a clear direction to go in with the available data",,,,Often,,,,,Most of the time,,,,,,,Most of the time,,,,Most of the time,,,100% of projects,More external than internal,Standalone Team,,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),"Company Developed Platform,Email",,Generic non-cloud file sharing software (Email/Shared Server/etc.),Rarely,95000,USD,Has stayed about the same (has not increased or decreased more than 5%),7,,,,,,,,,,,,,,,,,,
